,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED,simple,rainbow,human,random,normalized_reward
0,2500,216.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,-0.001775076719417536
1,5000,308.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.012064504482820867
2,7500,270.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.00634815572537457
3,10000,262.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.005144713881701665
4,12500,382.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.023196341536795236
5,15000,466.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.03583248089536073
6,17500,462.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.03523075997352428
7,20000,476.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.037336783199951866
8,22500,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.049070341175762686
9,25000,680.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.06802455021361094
10,27500,702.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.07133401528371142
11,30000,664.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.06561766652626512
12,32500,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.04997292255851736
13,35000,432.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.030717853059750888
14,37500,590.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.054485829472290755
15,40000,684.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.06862627113544738
16,42500,588.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.05418496901137253
17,45000,514.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.04305313195739816
18,47500,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1,405.2,739.9,6875.4,227.8,0.04636259702749865
