,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,216.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
1,5000,308.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
2,7500,270.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
3,10000,262.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
4,12500,382.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
5,15000,466.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
6,17500,462.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
7,20000,476.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
8,22500,554.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
9,25000,680.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
10,27500,702.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
11,30000,664.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
12,32500,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
13,35000,432.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
14,37500,590.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
15,40000,684.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
16,42500,588.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
17,45000,514.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
18,47500,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
19,50000,852.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
20,52500,732.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
21,55000,854.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
22,57500,708.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
23,60000,704.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
24,62500,782.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
