,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,200.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
1,5000,364.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
2,7500,348.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
3,10000,442.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
4,12500,404.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
5,15000,492.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
6,17500,584.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
7,20000,504.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
8,22500,522.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
9,25000,532.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
10,27500,506.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
11,30000,516.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
12,32500,974.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
13,35000,1004.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
14,37500,880.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
15,40000,1126.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
16,42500,1168.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
17,45000,1160.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
18,47500,1110.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
19,50000,1048.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
20,52500,1036.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
21,55000,1152.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
22,57500,1168.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
23,60000,1136.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
24,62500,1142.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
25,65000,1140.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
26,67500,1102.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
27,70000,1092.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
28,72500,1256.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
29,75000,1188.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
30,77500,1184.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
31,80000,1158.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,2
32,2500,246.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
33,5000,310.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
34,7500,382.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
35,10000,366.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
36,12500,368.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
37,15000,390.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
38,17500,382.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
39,20000,380.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
40,22500,382.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
41,25000,492.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
42,27500,446.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
43,30000,464.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
44,32500,484.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
45,35000,474.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
46,37500,488.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
47,40000,566.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
48,42500,506.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
49,45000,560.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
50,47500,546.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
51,50000,570.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
52,52500,578.0,alien,80000,sparse,False,100,64,0.95,0,0.1,250,False,2,False,20,100,0
