,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,267.5,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
1,5000,222.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
2,7500,438.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
3,10000,422.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
4,12500,494.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
5,15000,632.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
6,17500,1210.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
7,20000,1826.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
8,22500,2078.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
9,25000,2018.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
10,27500,2080.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
11,30000,2070.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
12,32500,2062.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
13,35000,2386.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
14,37500,2676.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
15,40000,2654.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
16,42500,2688.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
17,45000,2708.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
18,47500,2704.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
19,50000,2712.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
20,52500,2702.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
21,55000,2760.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
22,57500,2766.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
23,60000,2778.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
24,62500,2802.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
25,65000,2802.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
26,67500,2790.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
27,70000,2796.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
28,72500,2766.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
29,75000,2794.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
30,77500,2784.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
31,80000,2770.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
32,2500,245.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
33,5000,264.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
34,7500,356.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
35,10000,356.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
36,12500,542.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
37,15000,626.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
38,17500,460.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
39,20000,566.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
40,22500,616.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
41,25000,628.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
42,27500,666.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
43,30000,798.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
44,32500,702.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
45,35000,696.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
46,37500,826.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
47,40000,846.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
48,42500,742.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
49,45000,746.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
50,47500,718.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
51,50000,794.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
52,52500,842.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
53,55000,826.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
54,57500,836.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
55,60000,820.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
56,62500,844.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
57,65000,834.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
58,67500,836.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
59,70000,768.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
60,72500,854.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
61,75000,788.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
62,77500,798.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
63,80000,818.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
64,2500,262.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
65,5000,270.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
66,7500,376.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
67,10000,402.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
68,12500,448.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
69,15000,538.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
70,17500,592.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
71,20000,570.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
72,22500,560.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
73,25000,606.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
74,27500,550.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
75,30000,534.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
76,32500,1070.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
77,35000,1094.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
78,37500,1204.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
79,40000,1278.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
80,42500,1136.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
81,45000,1122.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
82,47500,1188.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
83,50000,1218.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
84,52500,1226.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
85,55000,1218.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
86,57500,1202.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
87,60000,1456.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
88,62500,1348.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
89,65000,1564.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
90,67500,1674.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
91,70000,1548.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
92,72500,2146.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
93,75000,2008.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
94,77500,2006.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
95,80000,1812.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
96,2500,298.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
97,5000,418.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
98,7500,454.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
99,10000,454.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
100,12500,396.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
101,15000,536.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
102,17500,570.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
103,20000,506.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
104,22500,518.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
105,25000,592.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
106,27500,594.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
107,30000,610.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
108,32500,626.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
109,35000,616.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
110,37500,610.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
111,40000,640.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
112,42500,632.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
113,45000,598.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
114,47500,596.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
115,50000,632.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
116,52500,610.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
117,55000,628.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
118,57500,586.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
119,60000,632.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
120,62500,652.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
121,65000,696.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
122,67500,642.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
123,70000,620.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
124,72500,676.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
125,75000,696.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
126,77500,644.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
127,80000,634.0,alien,80000,downsize,False,100,8,0.95,0,0.1,250,False,2,False,20,100,3
128,2500,226.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
129,5000,298.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
130,7500,384.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
131,10000,414.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
132,12500,506.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
133,15000,496.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
134,17500,502.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
135,20000,488.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
136,22500,482.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
137,25000,494.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
138,27500,486.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
139,30000,484.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
140,32500,514.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
141,35000,508.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
142,37500,566.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
143,40000,516.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
144,42500,468.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
145,45000,526.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
146,47500,582.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
147,50000,540.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
148,52500,566.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
149,55000,550.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
150,57500,580.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
151,60000,570.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
