,ACTION-BUFFER-SIZE,ARK2,CLIP-REWARD,DISCOUNT,ENV,EPS-DECAY,EPSILON,EXPLORE,FRAMESTACK,K_ACT,K_EXP,M,PROJECTION,Reward,SEED,STATE-DIM,STICKY-ACTIONS,Step,TIME-SIG,Unnamed: 0,human,normalized_reward,rainbow,random,simple
0,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,268.125,1.5,250.0,,2500,100.0,0,7127.7,0.005844287598370989,739.9,227.8,616.9
2,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,293.5,1.5,250.0,,5000,100.0,2,7127.7,0.009521877128654035,739.9,227.8,616.9
4,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,406.0,1.5,250.0,,7500,100.0,4,7127.7,0.02582646125306164,739.9,227.8,616.9
6,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,408.5,1.5,250.0,,10000,100.0,6,7127.7,0.02618878534471514,739.9,227.8,616.9
8,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,470.0,1.5,250.0,,12500,100.0,8,7127.7,0.035101957999391295,739.9,227.8,616.9
10,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,583.0,1.5,250.0,,15000,100.0,10,7127.7,0.0514790069421296,739.9,227.8,616.9
12,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,708.0,1.5,250.0,,17500,100.0,12,7127.7,0.0695952115248047,739.9,227.8,616.9
14,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,867.0,1.5,250.0,,20000,100.0,14,7127.7,0.09263902375396746,739.9,227.8,616.9
16,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,943.0,1.5,250.0,,22500,100.0,16,7127.7,0.10365367614023392,739.9,227.8,616.9
18,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,961.0,1.5,250.0,,25000,100.0,18,7127.7,0.10626240960013916,739.9,227.8,616.9
20,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,972.5,1.5,250.0,,27500,100.0,20,7127.7,0.10792910042174524,739.9,227.8,616.9
22,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1003.0,1.5,250.0,,30000,100.0,22,7127.7,0.11234945433991797,739.9,227.8,616.9
24,80000.0,929.6,,0.95,alien,0.1,0.0,,2.0,8.0,100.0,20.0,downsize,1115.0,1.5,250.0,,32500,100.0,24,7127.7,0.12858157364599487,739.9,227.8,616.9
