,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,0.8,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
1,5000,0.6,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
2,7500,1.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
3,10000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
4,12500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
5,15000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
6,17500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
7,20000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
8,22500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
9,25000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
10,27500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
11,30000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
12,32500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
13,35000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
14,37500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
15,40000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
16,42500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
17,45000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
18,47500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
19,50000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
20,52500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
21,55000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
22,57500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
23,60000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
24,62500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
25,65000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
26,67500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
27,70000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
28,72500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
29,75000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
30,77500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
31,80000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,0
32,2500,0.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
33,5000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
34,7500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
35,10000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
36,12500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
37,15000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
38,17500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
39,20000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
40,22500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
41,25000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
42,27500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
43,30000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
44,32500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
45,35000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
46,37500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
47,40000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
48,42500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
49,45000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
50,47500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
51,50000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
52,52500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
53,55000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
54,57500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
55,60000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
56,62500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
57,65000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
58,67500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
59,70000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
60,72500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
61,75000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
62,77500,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
63,80000,0.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,3
64,2500,0.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
65,5000,2.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
66,7500,1.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
67,10000,2.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
68,12500,3.8,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
69,15000,3.6,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
70,17500,4.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
71,20000,4.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
72,22500,4.6,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
73,25000,5.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
74,27500,5.4,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
75,30000,5.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
76,32500,6.0,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
77,35000,7.6,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
78,37500,7.2,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
79,40000,7.2,breakout,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,0.3,2
