,ENV,Step,TIME-SIG,Unnamed: 0,Reward,ACTION-BUFFER-SIZE,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,SEED,simple,rainbow,human,random,ARK2,normalized_reward
0,alien,2500,0.5,384,250.0,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.003217437933883098
1,alien,2500,0.75,224,237.7,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.0014348034029478655
2,alien,2500,0.9,544,234.9,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.0010290004202959456
3,alien,2500,1.0,64,251.2,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.0033913534978767777
4,alien,5000,0.5,385,446.0,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.03162364671951767
5,alien,5000,0.75,225,342.0,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.01655096450673198
6,alien,5000,0.9,545,380.0,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.022058290699865216
7,alien,5000,1.0,65,351.2,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.017884317164016866
8,alien,7500,0.5,386,443.6,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.031275815591530316
9,alien,7500,0.75,226,406.4,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.025884433107726194
10,alien,7500,0.9,546,407.6,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.026058348671719883
11,alien,7500,1.0,66,402.0,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.025246742706416036
12,alien,10000,0.5,387,435.6,80000,False,100,8,0.95,0,0.1,250,False,2,False,20,2,616.9,739.9,7127.7,227.8,929.6,0.03011637849823911
