,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,230.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
1,5000,348.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
2,7500,416.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
3,10000,556.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
4,12500,544.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
5,15000,550.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
6,17500,530.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
7,20000,542.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
8,22500,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
9,25000,548.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
10,27500,562.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
11,30000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
12,32500,546.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
13,35000,540.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
14,37500,542.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
15,40000,538.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
16,42500,550.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
17,45000,570.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
18,47500,546.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
19,50000,542.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
20,52500,582.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
21,55000,578.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
22,57500,546.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
23,60000,536.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
24,62500,578.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
25,65000,564.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
26,67500,568.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
27,70000,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
28,72500,560.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
29,75000,582.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
30,77500,604.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
31,80000,568.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,2
32,2500,290.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
33,5000,364.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
34,7500,332.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
35,10000,312.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
36,12500,304.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
37,15000,318.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
38,17500,334.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
39,20000,386.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
40,22500,426.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
41,25000,422.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
42,27500,408.0,alien,80000,sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,1.0,3
