,ENV,Step,TIME-SIG,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,SEED,simple,rainbow,human,random,normalized_reward
0,alien,2500,0.5,250.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.0033395511161923084
1,alien,2500,0.75,237.7,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.0014892592815452161
2,alien,2500,0.9,234.9,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.001068054636259702
3,alien,2500,1.0,251.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.0035200673927432424
4,alien,5000,0.5,446.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03282387628617847
5,alien,5000,0.75,342.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.017179132318430712
6,alien,5000,0.9,380.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.02289548107587701
7,alien,5000,1.0,351.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.01856309043865455
8,alien,7500,0.5,443.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.032462843733076605
9,alien,7500,0.75,406.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.02686683915999759
10,alien,7500,0.9,407.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.027047355436548532
11,alien,7500,1.0,402.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.026204946145977497
12,alien,10000,0.5,435.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.031259401889403696
13,alien,10000,0.75,388.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.024159095011733554
14,alien,10000,0.9,416.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.02843131355677237
15,alien,10000,1.0,416.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.02837114146458872
16,alien,12500,0.5,455.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03426800649858596
17,alien,12500,0.75,410.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.027528732174017693
18,alien,12500,0.9,443.2,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03240267164089295
19,alien,12500,1.0,434.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.031139057705036405
20,alien,15000,0.5,515.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.04329382032613274
21,alien,15000,0.75,402.0,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.026204946145977497
22,alien,15000,0.9,430.4,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.030477164691016304
23,alien,15000,1.0,429.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.03035682050664902
24,alien,17500,0.5,526.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.0449786389072748
25,alien,17500,0.75,380.8,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.023015825260244302
26,alien,17500,0.9,453.6,80000,100,8,0.95,0,0.1,250,2,20,2,405.2,739.9,6875.4,227.8,0.033967146037667734
