,Step,Reward,ENV,ACTION-BUFFER-SIZE,PROJECTION,EXPLORE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,STICKY-ACTIONS,FRAMESTACK,CLIP-REWARD,M,TIME-SIG,SEED
0,2500,198.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
1,5000,292.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
2,7500,458.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
3,10000,358.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
4,12500,344.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
5,15000,330.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
6,17500,360.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
7,20000,358.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
8,22500,404.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
9,25000,374.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
10,27500,406.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
11,30000,430.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
12,32500,360.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
13,35000,416.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
14,37500,374.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
15,40000,406.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
16,42500,442.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
17,45000,482.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
18,47500,420.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
19,50000,440.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
20,52500,548.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
21,55000,462.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
22,57500,454.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
23,60000,376.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
24,62500,562.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
25,65000,390.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
26,67500,486.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
27,70000,446.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
28,72500,648.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
29,75000,510.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
30,77500,592.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
31,80000,540.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,0
32,2500,226.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
33,5000,236.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
34,7500,284.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
35,10000,348.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
36,12500,364.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
37,15000,470.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
38,17500,576.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
39,20000,612.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
40,22500,518.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
41,25000,658.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
42,27500,498.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
43,30000,566.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
44,32500,568.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
45,35000,560.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
46,37500,582.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
47,40000,564.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
48,42500,586.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
49,45000,564.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
50,47500,586.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
51,50000,714.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
52,52500,554.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
53,55000,586.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
54,57500,572.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
55,60000,568.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
56,62500,610.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
57,65000,618.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
58,67500,590.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
59,70000,668.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
60,72500,578.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
61,75000,576.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
62,77500,598.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
63,80000,600.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,2
64,2500,386.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
65,5000,302.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
66,7500,354.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
67,10000,748.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
68,12500,460.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
69,15000,508.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
70,17500,532.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
71,20000,450.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
72,22500,488.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
73,25000,592.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
74,27500,516.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
75,30000,522.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
76,32500,522.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
77,35000,518.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
78,37500,518.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
79,40000,548.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
80,42500,566.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
81,45000,532.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
82,47500,522.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
83,50000,520.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
84,52500,492.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
85,55000,528.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
86,57500,536.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
87,60000,588.0,alien,80000,very very sparse,False,100,8,0.95,0,0.1,250,False,2,False,20,100,1
