,ENV,Step,EXPLORE,Reward,ACTION-BUFFER-SIZE,K_EXP,K_ACT,DISCOUNT,EPSILON,EPS-DECAY,STATE-DIM,FRAMESTACK,M,TIME-SIG,SEED,simple,rainbow,human,random,ARK2,normalized_reward
0,alien,2500,best fixed,273.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.006608791431759876
1,alien,2500,inverse,256.5,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0041594805721822045
2,alien,2500,mean,255.3,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0039855650081885245
3,alien,5000,best fixed,363.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.019681444658618243
4,alien,5000,inverse,437.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03040623777156191
5,alien,5000,mean,386.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.02292786851983362
6,alien,7500,best fixed,455.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03295699937680256
7,alien,7500,inverse,519.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04223249612313223
8,alien,7500,mean,406.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.025884433107726194
9,alien,10000,best fixed,437.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.030348265916897346
10,alien,10000,inverse,547.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04634849780431601
11,alien,10000,mean,404.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.025594573834403393
12,alien,12500,best fixed,483.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03701502920332179
13,alien,12500,inverse,642.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.060087827359816805
14,alien,12500,mean,383.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.02258003739184626
15,alien,15000,best fixed,428.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.029072885114277015
16,alien,15000,inverse,710.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.06994304265279207
17,alien,15000,mean,410.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.026406179799707243
18,alien,17500,best fixed,486.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03753677589530283
19,alien,17500,inverse,664.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.06333425122103219
20,alien,17500,mean,428.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.029072885114277015
21,alien,20000,best fixed,494.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03869621298859404
22,alien,20000,inverse,644.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.06043565848780417
23,alien,20000,mean,384.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.02263800924651082
24,alien,22500,best fixed,464.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03423238017942289
25,alien,22500,inverse,694.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0675661966115451
26,alien,22500,mean,396.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.02437716488644763
27,alien,25000,best fixed,501.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.039681734517891566
28,alien,25000,inverse,724.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.07191408571138712
29,alien,25000,mean,380.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.022058290699865216
30,alien,27500,best fixed,466.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03458021130741025
31,alien,27500,inverse,816.8,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08536355599356513
32,alien,27500,mean,490.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.03805852258728387
33,alien,30000,best fixed,526.0,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.04321801765242975
34,alien,30000,inverse,747.6,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.07533442513659618
35,alien,30000,mean,508.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.040667256047189085
36,alien,32500,best fixed,518.4,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.0421165524138031
37,alien,32500,inverse,793.2,80000.0,100.0,8.0,0.95,0.0,0.1,250.0,2.0,20.0,0.3,2.0,616.9,739.9,7127.7,227.8,929.6,0.08194321656835608
